[Data: 20/04/28 02:53:56][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 03:34:49][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 03:34:52][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 1
[Data: 20/04/28 03:35:04][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 03:54:46][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/04/28 03:54:54][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 03:54:59][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 03:55:01][Room.SwitchNewSlot] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: 1
[Data: 20/04/28 03:55:07][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 04:50:41][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 05:22:23][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/04/28 12:08:51][Room.addPlayer] Jogador '5762' 'MATADORDEGRINGO'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 12:22:58][Room.RemovePlayer] Jogador '5762' 'MATADORDEGRINGO'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 13:25:39][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 13:32:00][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 15:33:20][Room.addPlayer] Jogador '5762' 'MATADORDEGRINGO'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 15:58:22][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/04/28 15:58:26][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/04/28 16:01:10][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
[Data: 20/04/28 16:01:16][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 1; NewSlot: 4
[Data: 20/04/28 16:09:55][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 4; NewSlot: -1
[Data: 20/04/28 16:09:56][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/04/28 16:09:59][Room.RemovePlayer] Jogador '5762' 'MATADORDEGRINGO'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 16:10:04][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 16:10:07][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/04/28 16:10:08][Room.addPlayer] Jogador '5762' 'MATADORDEGRINGO'; OldSlot: -1; NewSlot: 2
[Data: 20/04/28 16:10:18][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 1; NewSlot: 4
[Data: 20/04/28 16:10:20][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: 1
